axon,n_circle,mean_circle,n_ellipse,mean_ellipse,mean_manual,bias_circle,bias_ellipse
Axon1,16,0.7863,16,0.7707,0.7496,0.0367,0.0211
Axon2,16,0.7776,16,0.7532,0.7158,0.0617,0.0373
Axon3,16,0.7738,16,0.7504,0.7452,0.0286,0.0052
Axon4,15,0.7994,15,0.7862,0.7354,0.064,0.0508
Axon5,16,0.7973,16,0.7731,0.7033,0.0941,0.0699
Axon6,16,0.7982,16,0.7767,0.7055,0.0927,0.0712
Axon7,15,0.7482,15,0.749,0.6486,0.0996,0.1004
Axon8,20,0.7681,20,0.7463,0.7115,0.0566,0.0348
Axon9,15,0.7721,15,0.7574,0.6436,0.1286,0.1138
Axon10,30,0.7618,31,0.7425,0.7217,0.0401,0.0208
Axon11,16,0.7911,16,0.7539,0.7382,0.0529,0.0157
Axon12,16,0.7989,16,0.7745,0.6927,0.1062,0.0818
Axon13,15,0.7984,15,0.772,0.7262,0.0722,0.0458
Axon14,15,0.7687,15,0.7371,0.7287,0.04,0.0084
Axon15,16,0.773,16,0.7337,0.7204,0.0526,0.0133
Axon16,16,0.7838,16,0.7579,0.7346,0.0493,0.0234
Axon17,16,0.7564,16,0.7157,0.7173,0.0391,-0.0017
Axon18,16,0.789,16,0.7353,0.7304,0.0586,0.0049
Axon19,16,0.7497,16,0.7088,0.6873,0.0625,0.0216
Axon20,15,0.7525,15,0.7143,0.6904,0.062,0.0239
