image,raw,removed_border,removed_spatial,removed_size,kept,kept_pct
image_706,412,89,0,100,312,75.7
image_963,698,88,0,269,429,61.5
image_1812,689,104,0,265,424,61.5
image_2299,2726,163,1124,1336,266,9.8
image_2336,717,125,0,278,439,61.2
image_2696,564,67,0,356,208,36.9
image_4090,1070,113,0,633,437,40.8
image_5087,669,96,0,351,318,47.5
image_6107,835,92,0,428,407,48.7
image_6294,651,96,0,365,286,43.9
image_7422,1458,128,0,975,483,33.1
image_7559,3332,183,2533,541,258,7.7
image_8969,2135,155,0,1831,304,14.2
image_9408,1106,129,0,721,385,34.8
