image,n_circle,r_circle,mae_circle,pct_circle,n_ellipse,r_ellipse,mae_ellipse,pct_ellipse
image_706,74,0.692,0.0255,3.43,74,0.607,0.043,5.79
image_963,73,0.89,0.0355,5.07,69,0.794,0.0339,4.81
image_1812,64,0.857,0.0343,4.9,61,0.813,0.0379,5.37
image_2299,25,0.54,0.0852,12.08,25,0.396,0.0737,10.46
image_2336,75,0.608,0.0255,3.54,75,0.527,0.0476,6.61
image_2696,72,0.811,0.0247,3.35,71,0.808,0.0382,5.17
image_4090,72,0.808,0.0357,5.09,71,0.737,0.0339,4.83
image_5087,73,0.783,0.0299,4.1,73,0.711,0.0349,4.78
image_6107,63,0.532,0.058,7.9,62,0.561,0.0421,5.73
image_6294,74,0.711,0.0412,5.68,74,0.515,0.0412,5.68
image_7422,68,0.55,0.0314,4.34,67,0.497,0.0461,6.38
image_7559,64,0.541,0.0518,7.19,62,0.638,0.0394,5.44
image_8969,56,0.666,0.0667,9.46,55,0.633,0.051,7.23
image_9408,71,0.641,0.0348,4.89,68,0.615,0.0414,5.79
