animal,condition,injection,n,mean_gr,median_gr,std_gr,mean_diam,median_diam
TKFG 17.1g,DREADD,Gq,226,0.7584957967267145,0.75733113436187,0.07262594270772933,0.7514142800932209,0.7126930139439596
TKFG 17.1g,GFP,Gq,971,0.7240113017698906,0.7224981693306163,0.08925392116537746,0.7434482108241708,0.6653202305162264
TKFG 18.1f,DREADD,Gq,273,0.7734826257543701,0.775080181772333,0.06333516755708016,0.9095464600440435,0.8446284458382565
TKFG 18.1f,GFP,Gq,849,0.7302382777591412,0.7304976187504374,0.08726821519432598,0.8057956196325325,0.7420178683524761
TKFG 19.1c,DREADD,Gi,315,0.7548136842444824,0.7562130408406427,0.04363827492259264,0.9902877273584388,0.8806456147732199
TKFG 19.1c,GFP,Gi,414,0.7788641792762717,0.7771578316753656,0.04866842647795201,0.8890841760028447,0.8026202693052382
TKFG 19.1e,GFP,Gi,275,0.7729982244638995,0.7625490747030343,0.1540157316231627,0.8046664326424129,0.6965197857594854
TKFG 19.1f,GFP,Gi,322,0.7218704219157505,0.7263678515511878,0.062025471337016545,0.9059680283059969,0.8406979070795315
TKFG 19.1g,DREADD,Gi,900,0.7147156612710216,0.7167227788450576,0.06655353362375532,0.7717387729145387,0.685265967058754
TKFG 19.1g,GFP,Gi,294,0.7623664888307098,0.7632763076841177,0.051592565350843334,0.9415245773263196,0.8572450607111445
TKFG 21.1g,GFP,Gq,310,0.7745564837483924,0.7746793517017481,0.05867200201514014,0.943411897099982,0.8410485429161896
